years,player_dm,emotional,social,friends,irl
3 ,2,3,4,4,5
5,3,4,4,5,5
15,5,2,4,4,4
1,1,2,2,4,3
6,2,3,4,4,3
7,3,4,5,4,4
1,5,2,2,2,2
3,3,4,5,5,5
1,1,4,5,5,4
4,2,3,4,5,4
4,1,2,4,4,3
3,3,3,2,3,3
2,4,4,5,5,4
4,1,4,5,3,4
5,3,3,4,3,4
2,3,5,5,4,4
8,4,4,4,5,5
2,5,4,3,4,5
2,3,3,4,3,3
30,2,2,3,4,3
4,5,4,4,4,5
35,3,1,4,2,4
5,2,4,3,4,4
4,3,4,2,4,5
5,4,2,4,4,3
5,3,3,4,2,5
10,4,4,4,4,4
3,3,3,4,4,5
3,2,4,4,4,1
31 ,3,5,5,4,4
2,1,2,4,4,4
18,3,4,4,5,4
0.5,1,2,2,2,2
3,4,3,5,4,4
2,2,4,5,4,5
4,2,3,4,3,4
3,3,3,4,4,4
23,3,4,5,2,3
1,4,3,4,5,3
3,4,3,4,4,4
11,4,4,4,4,4
2,3,3,5,4,5
12,4,2,4,3,4
10,4,5,5,5,5
30,3,5,5,5,5
6,3,1,1,3,1
18,3,2,3,3,5
4,1,3,5,4,4
1,3,3,4,4,4
3,3,4,3,5,4
12,3,3,4,4,4
1,2,4,5,4,4
5,4,4,4,3,5
1,2,4,4,4,5
9,4,3,5,3,5
5,4,4,4,3,3
2,4,3,4,4,4
5,1,4,5,3,3
5,2,3,3,3,3
3,3,2,2,3,2
1,3,4,5,4,4
3,1,5,5,4,4
7,3,4,5,4,5
3,1,2,2,2,4
4,4,5,5,2,4
2,3,3,4,4,4
2,5,5,5,5,5
2,4,3,4,4,5
3,2,1,5,3,4
1,2,3,4,4,4
35,4,2,4,3,4
40,2,1,2,2,1
12,1,3,4,4,2
1,1,3,4,4,3
3,2,2,3,2,3
2,3,3,4,4,5
3,2,2,2,2,2
10,4,4,5,3,5
1,1,3,4,3,3
15,2,3,5,5,5
5,4,3,4,4,4
25,3,1,4,3,5
3,2,4,3,3,4
1,4,2,5,4,4
3,2,4,4,4,4
7,4,4,5,5,4
2,4,3,3,2,3
1,2,2,3,3,3
2,4,3,3,4,3
9,3,4,5,4,4
3,3,4,4,3,4
5,1,5,5,4,5
