"Timestamp","For how many years have you been playing tabletop role-playing games (TTRPG's)?","Where do you fall on the DM-player scale?","I have learned emotional skills (f.e. dealing with grief, gender issues, dealing with emotions, etc.) from playing TTRPG's.","I have learned social skills (f.e. making friends, public speaking, theatre, etc.) from playing TTRPG's.","I have become better at getting friends through playing TTRPG's.","I feel TTRPG's have helped me in real life.","What, if anything, have you gained/learned by playing role playing games?"
"2019/06/20 12:29:22 AM GMT+2","2","Only Player","Strongly disagree","Neutral","Disagree","Disagree","I don't think much about my D&D games bleeds over to my normal life. It's a hobby that I enjoy and like the rest of my hobbies playing is fun which leads to general happiness. Beyond that though my games do not affect my life outside the game at all. "
"2019/06/20 12:29:30 AM GMT+2","3","Mostly DM","Agree","Agree","Neutral","Agree","Creativity"
"2019/06/20 12:29:58 AM GMT+2","4","Mostly DM","Neutral","Neutral","Neutral","Neutral",""
"2019/06/20 12:31:21 AM GMT+2","1","Player & DM","Neutral","Agree","Neutral","Neutral",""
"2019/06/20 12:34:02 AM GMT+2","1","Only Player","Disagree","Agree","Neutral","Agree",""
"2019/06/20 12:34:39 AM GMT+2","1","Only DM","Agree","Agree","Agree","Agree",""
"2019/06/20 12:34:44 AM GMT+2","2","Player & DM","Agree","Strongly agree","Agree","Agree","I got an escape from reality and depression that helped me overcome it by being able to be whoever I wanted."
"2019/06/20 12:35:31 AM GMT+2","13","Player & DM","Neutral","Agree","Neutral","Strongly agree","Better math skills, critical thinking, and creativity"
"2019/06/20 12:35:34 AM GMT+2","3","Player & DM","Disagree","Agree","Agree","Agree",""
"2019/06/20 12:35:44 AM GMT+2","5","Only DM","Strongly disagree","Agree","Neutral","Agree","It’s a fun hobby where I get to be creative. "
"2019/06/20 12:36:07 AM GMT+2","2","Player & DM","Strongly disagree","Disagree","Disagree","Disagree",""
"2019/06/20 12:38:07 AM GMT+2","15","Mostly Player","Strongly disagree","Neutral","Agree","Neutral",""
"2019/06/20 12:38:31 AM GMT+2","3","Mostly DM","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Public speaking, assertive communication, fun and meaning and creative expression"
"2019/06/20 12:41:03 AM GMT+2","5","Player & DM","Disagree","Agree","Neutral","Agree","Better improvisational skills"
"2019/06/20 12:41:32 AM GMT+2","3","Only Player","Neutral","Neutral","Disagree","Neutral","I don’t think I gained or learned social skills or the like simply because I developed those through other activities I engaged in before I started playing DnD (ie sports) but I’d say the incredible experiences and great times I gained by playing with my friends are invaluable memories that I will cherish for the rest of my life."
"2019/06/20 12:43:28 AM GMT+2","1","Mostly DM","Neutral","Agree","Strongly agree","Agree","It's helped me make new friends, and maybe might've improved my social skills. This is a small thing, but I also feel it's helped my vocabulary."
"2019/06/20 12:44:06 AM GMT+2","1","Mostly DM","Neutral","Neutral","Agree","Agree","Creative writing, voice acting, game design"
"2019/06/20 12:45:53 AM GMT+2","10","Mostly Player","Agree","Strongly agree","Strongly agree","Neutral",""
"2019/06/20 12:48:42 AM GMT+2","1","Mostly DM","Neutral","Neutral","Neutral","Disagree","Writing"
"2019/06/20 12:49:15 AM GMT+2","1","Mostly Player","Disagree","Agree","Neutral","Agree","I got to reconnect with old classmates and enjoy time with shared activities."
"2019/06/20 12:50:31 AM GMT+2","6","Mostly DM","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Improved ability to improvise and adapt to unexpected situations."
"2019/06/20 12:50:47 AM GMT+2","1","Only Player","Neutral","Neutral","Neutral","Agree",""
"2019/06/20 12:51:36 AM GMT+2","10","Mostly Player","Neutral","Strongly agree","Agree","Agree",""
"2019/06/20 12:51:46 AM GMT+2","2","Player & DM","Strongly disagree","Strongly disagree","Neutral","Strongly disagree",""
"2019/06/20 12:52:40 AM GMT+2","2","Mostly Player","Disagree","Agree","Neutral","Agree",""
"2019/06/20 12:53:49 AM GMT+2","2","Mostly DM","Disagree","Agree","Agree","Agree","An outlet to creativity and writing, which was missing from my life for a few years now."
"2019/06/20 12:54:17 AM GMT+2","2","Player & DM","Agree","Agree","Neutral","Strongly agree","How to improvise"
"2019/06/20 12:54:31 AM GMT+2","4","Mostly DM","Neutral","Strongly agree","Disagree","Agree","Creative writing"
"2019/06/20 12:54:56 AM GMT+2","3","Mostly Player","Disagree","Neutral","Agree","Agree",""
"2019/06/20 12:56:35 AM GMT+2","4 ","Player & DM","Neutral","Agree","Agree","Strongly agree",""
"2019/06/20 12:58:13 AM GMT+2","1","Player & DM","Agree","Strongly agree","Strongly agree","Agree",""
"2019/06/20 12:58:19 AM GMT+2","2","Mostly Player","Disagree","Strongly agree","Agree","Neutral",""
"2019/06/20 12:58:37 AM GMT+2","3","Player & DM","Agree","Strongly agree","Strongly agree","Strongly agree","Good times with friends and a great way to express my creativity."
"2019/06/20 1:01:32 AM GMT+2","1","Player & DM","Disagree","Agree","Neutral","Agree",""
"2019/06/20 1:03:18 AM GMT+2","2","Player & DM","Disagree","Agree","Agree","Agree",""
"2019/06/20 1:03:44 AM GMT+2","1","Mostly Player","Disagree","Agree","Neutral","Agree","Story writing, such as ""what makes a compelling story,"" or ""why is this more interesting than that?"""
"2019/06/20 1:05:31 AM GMT+2","2.5","Only DM","Neutral","Agree","Agree","Agree","Mostly expressing myself through characters"
"2019/06/20 1:06:19 AM GMT+2","4","Mostly Player","Neutral","Agree","Neutral","Agree","I met my fiancé through D&D, so there's that! But TTRPGs have helped me get past difficult struggles I had in life, just by being such an in-depth distraction, but as well as something that I did with people and friends that care about me."
"2019/06/20 1:07:15 AM GMT+2","8","Only Player","Neutral","Agree","Strongly agree","Agree","It's good to prepare for the expected outcome, but prepare for the possibilty that nothing goes as planned. Be ready for anything. Also, nearly anything can be a weapon."
"2019/06/20 1:09:11 AM GMT+2","12","Mostly Player","Strongly disagree","Strongly disagree","Strongly disagree","Neutral","a fun way to meet with friends and spend time with them, a chance to be part of a story rather than an observer to it. It has confirmed me in my belief hat broad-strokes plans are better than detailed plans because you will end up having to improvise anyway when (not if) something goes wrong."
"2019/06/20 1:09:59 AM GMT+2","10","Player & DM","Agree","Strongly agree","Agree","Strongly agree",""
"2019/06/20 1:13:52 AM GMT+2","16","Mostly DM","Agree","Strongly agree","Strongly agree","Strongly agree","Creativity, passion, a love for the written word. "
"2019/06/20 1:14:12 AM GMT+2","3","Mostly Player","Strongly disagree","Agree","Disagree","Neutral","A constructive hobby that allows me to flex the creative side of my brain."
"2019/06/20 1:20:06 AM GMT+2","3","Mostly Player","Neutral","Neutral","Neutral","Disagree","Spending time with existing friends, learning more about them. Started playing as an adult"
"2019/06/20 1:22:45 AM GMT+2","4","Player & DM","Strongly disagree","Disagree","Disagree","Neutral",""
"2019/06/20 1:23:09 AM GMT+2","1","Mostly Player","Strongly agree","Strongly agree","Strongly agree","Strongly agree",""
"2019/06/20 1:23:50 AM GMT+2","2","Player & DM","Disagree","Strongly agree","Agree","Agree",""
"2019/06/20 1:23:55 AM GMT+2","18","Only DM","Agree","Strongly agree","Neutral","Strongly agree",""
"2019/06/20 1:24:06 AM GMT+2","2","Only DM","Neutral","Agree","Agree","Strongly agree","a sense of fitting in, creating a fun enviroment for freinds that we can all enjoy"
"2019/06/20 1:24:06 AM GMT+2","1","Only Player","Neutral","Agree","Agree","Agree","That it's ok to be me, especially when I'm pretending to be someone else. "
"2019/06/20 1:25:53 AM GMT+2","2","Mostly Player","Agree","Strongly agree","Agree","Strongly agree","Conflict resolution, scheduling, how to communicate what I need, and a consistent reason for my friend group to maintain itself."
"2019/06/20 1:29:53 AM GMT+2","11","Mostly Player","Neutral","Agree","Agree","Agree",""
"2019/06/20 1:30:16 AM GMT+2","3","Mostly DM","Agree","Agree","Agree","Strongly agree","Improv skills first and foremost."
"2019/06/20 1:33:10 AM GMT+2","3","Mostly DM","Disagree","Agree","Agree","Strongly agree",""
"2019/06/20 1:34:32 AM GMT+2","2","Player & DM","Agree","Agree","Agree","Agree",""
"2019/06/20 1:35:58 AM GMT+2","5","Player & DM","Strongly disagree","Agree","Neutral","Agree",""
"2019/06/20 1:39:00 AM GMT+2","1","Only Player","Agree","Strongly agree","Agree","Strongly agree","Various problem-solving and teamworking skills."
"2019/06/20 1:39:16 AM GMT+2","3","Only Player","Neutral","Agree","Neutral","Neutral","Practice dealing with disagreements and personality clashes."
"2019/06/20 1:41:39 AM GMT+2","3","Mostly Player","Strongly agree","Strongly agree","Strongly agree","Agree","A lot to be honest. D&D has taught me to make friends, boosted my self confidence and has overall changed my life for the better. "
"2019/06/20 1:41:44 AM GMT+2","20","Only Player","Neutral","Agree","Agree","Agree",""
"2019/06/20 1:45:28 AM GMT+2","7","Mostly Player","Agree","Strongly agree","Strongly agree","Strongly agree","Social skills, a friend group, a hobby"
"2019/06/20 1:47:24 AM GMT+2","1","Only Player","Neutral","Neutral","Neutral","Neutral",""
"2019/06/20 1:50:57 AM GMT+2","0.4","Only DM","Neutral","Agree","Neutral","Neutral","Inhibitions are lame if they get in the way of fun"
"2019/06/20 1:51:07 AM GMT+2","1","Player & DM","Strongly disagree","Neutral","Disagree","Disagree",""
"2019/06/20 1:53:40 AM GMT+2","1","Mostly Player","Agree","Agree","Agree","Agree","How to get into character"
"2019/06/20 1:55:34 AM GMT+2","3","Player & DM","Agree","Agree","Neutral","Agree","More patience and much more honest communication. "
"2019/06/20 1:57:12 AM GMT+2","1","Mostly DM","Agree","Strongly agree","Agree","Agree","Improv"
"2019/06/20 2:00:02 AM GMT+2","2","Player & DM","Agree","Agree","Neutral","Agree","An appreciation for the theory of game design."
"2019/06/20 2:00:22 AM GMT+2","10","Only Player","Disagree","Neutral","Agree","Agree",""
"2019/06/20 2:01:35 AM GMT+2","5","Mostly DM","Agree","Agree","Disagree","Neutral","I learned that a close friend wasn't really a friend at all, he was just using me because I was convenient, we had the same sense of humor and worked together. The act of requiring him to engage in any work outside of face-to-face fun, like putting together a character sheet, caused him to show his true colors. Without D&D I probably would have invested significantly more time and money into a relationship that was never going to pay off."
"2019/06/20 2:01:38 AM GMT+2","1.5","Player & DM","Neutral","Agree","Neutral","Agree","Creative thinking"
"2019/06/20 2:04:49 AM GMT+2","20","Only DM","Neutral","Agree","Disagree","Agree",""
"2019/06/20 2:07:26 AM GMT+2","6","Mostly Player","Agree","Agree","Neutral","Agree",""
"2019/06/20 2:09:02 AM GMT+2","3","Mostly DM","Disagree","Agree","Agree","Agree","It has allowed me to stay connected to friends that I may have fallen out of contact otherwise."
"2019/06/20 2:10:42 AM GMT+2","11","Mostly DM","Strongly disagree","Strongly agree","Neutral","Strongly agree","Public speaking and improv. Confidence"
"2019/06/20 2:12:00 AM GMT+2","6","Mostly DM","Agree","Strongly agree","Agree","Strongly agree",""
"2019/06/20 2:12:04 AM GMT+2","3","Player & DM","Agree","Agree","Neutral","Agree","Dealing with different Personalities"
"2019/06/20 2:17:36 AM GMT+2","3","Player & DM","Agree","Disagree","Strongly disagree","Strongly agree","Creative outlet"
"2019/06/20 2:17:58 AM GMT+2","3","Mostly Player","Disagree","Disagree","Disagree","Neutral",""
"2019/06/20 2:19:40 AM GMT+2","1","Player & DM","Disagree","Agree","Disagree","Agree","New way to have fun."
"2019/06/20 2:19:43 AM GMT+2","3","Mostly DM","Neutral","Agree","Agree","Agree",""
"2019/06/20 2:20:33 AM GMT+2","3","Mostly DM","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","An excuse to hang out with some friends"
"2019/06/20 2:24:42 AM GMT+2","7","Mostly Player","Strongly agree","Strongly agree","Agree","Strongly agree","The ability to view events from multiple moral viewpoints"
"2019/06/20 2:26:00 AM GMT+2","5","Mostly DM","Neutral","Strongly agree","Agree","Strongly agree","Planning, organization, confidence, public speaking"
"2019/06/20 2:26:02 AM GMT+2","3","Player & DM","Disagree","Disagree","Disagree","Neutral","Good stories and communal experiences"
"2019/06/20 2:26:47 AM GMT+2","8","Player & DM","Neutral","Strongly agree","Agree","Agree","Theory of mind thinking skills"
"2019/06/20 2:27:20 AM GMT+2","7","Mostly DM","Neutral","Agree","Neutral","Agree","Better understanding of emotions, both my own and those of others. "
"2019/06/20 2:28:42 AM GMT+2","9","Only DM","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Social skills, ability to work with a group, and close friendships"
"2019/06/20 2:31:10 AM GMT+2","4","Mostly Player","Neutral","Strongly agree","Agree","Strongly agree","How to just relax and get involved in what's happening right now"
"2019/06/20 2:32:50 AM GMT+2","2.5","Mostly Player","Neutral","Neutral","Neutral","Agree","friends!"
"2019/06/20 2:33:53 AM GMT+2","3","Player & DM","Disagree","Neutral","Disagree","Agree","Fun times with friends and family."
"2019/06/20 2:35:12 AM GMT+2","32","Player & DM","Agree","Agree","Agree","Agree","Math proficiency is extremely high due to TTRPG's. "
"2019/06/20 2:38:39 AM GMT+2","3","Player & DM","Neutral","Agree","Agree","Agree",""
"2019/06/20 2:38:44 AM GMT+2","5","Mostly DM","Neutral","Neutral","Neutral","Neutral","DMing"
"2019/06/20 2:40:24 AM GMT+2","15","Mostly DM","Neutral","Agree","Agree","Strongly agree","Less what I've gained, and more what it has done. When I play I can work through problems I've had or relieve stress that I've had by what and who I'm playing. "
"2019/06/20 2:41:40 AM GMT+2","15","Mostly DM","Disagree","Neutral","Neutral","Agree","The ability to present all options or approaches to a problem in a neutral manner and with minimal bias."
"2019/06/20 2:42:04 AM GMT+2","30","Player & DM","Disagree","Neutral","Neutral","Disagree","Fun memories"
"2019/06/20 2:43:52 AM GMT+2","3","Only Player","Disagree","Agree","Disagree","Agree",""
"2019/06/20 2:44:48 AM GMT+2","3","Player & DM","Neutral","Disagree","Agree","Disagree",""
"2019/06/20 2:45:54 AM GMT+2","1","Only Player","Neutral","Neutral","Neutral","Agree",""
"2019/06/20 2:45:59 AM GMT+2","15","Mostly DM","Strongly disagree","Neutral","Agree","Agree","It’s been a good social activity to make friends and get to know people such as coworkers"
"2019/06/20 2:46:10 AM GMT+2","10","Mostly DM","Disagree","Agree","Agree","Agree","Improv and team building skills"
"2019/06/20 2:48:26 AM GMT+2","2","Mostly Player","Agree","Agree","Agree","Strongly agree",""
"2019/06/20 2:48:54 AM GMT+2","1","Player & DM","Neutral","Strongly agree","Strongly agree","Strongly agree",""
"2019/06/20 2:50:05 AM GMT+2","29","Mostly Player","Agree","Agree","Neutral","Strongly agree","Faster math skills"
"2019/06/20 2:51:56 AM GMT+2","6","Mostly Player","Disagree","Agree","Neutral","Neutral",""
"2019/06/20 2:52:41 AM GMT+2","1","Only Player","Agree","Strongly agree","Strongly agree","Strongly agree","To be flexible and know that not everything in life goes the way you expect it to be"
"2019/06/20 2:54:15 AM GMT+2","2","Player & DM","Agree","Agree","Agree","Agree","Another creative outlet"
"2019/06/20 2:54:25 AM GMT+2","20","Mostly DM","Agree","Neutral","Neutral","Agree",""
"2019/06/20 2:55:55 AM GMT+2","5","Mostly DM","Disagree","Agree","Disagree","Agree","How to manage player expectations"
"2019/06/20 2:57:31 AM GMT+2","1","Mostly DM","Neutral","Strongly agree","Strongly agree","Agree","I’ve learned some solid organizational skills, such as excel usage and the ability to get a group of people together on different schedules. "
"2019/06/20 3:00:39 AM GMT+2","5","Player & DM","Strongly agree","Strongly agree","Strongly agree","Strongly agree","How to organize groups of people around a busy schedule. Meeting strangers, befriending them and encouraging them to roleplay."
"2019/06/20 3:00:58 AM GMT+2","7","Mostly DM","Agree","Disagree","Disagree","Agree",""
"2019/06/20 3:03:07 AM GMT+2","20","Player & DM","Agree","Agree","Agree","Strongly agree","Good learning tool for how gray life's choices can be."
"2019/06/20 3:05:22 AM GMT+2","5","Mostly DM","Disagree","Strongly agree","Strongly agree","Strongly agree",""
"2019/06/20 3:05:45 AM GMT+2","3","Player & DM","Agree","Strongly agree","Agree","Agree","Analytical skills, teamwork, and compromise. I’ve also improved my writing skills and creative thinking. "
"2019/06/20 3:10:09 AM GMT+2","1","Player & DM","Agree","Neutral","Agree","Agree",""
"2019/06/20 3:12:32 AM GMT+2","2","Only Player","Neutral","Agree","Agree","Agree","Found a creative outlet, I thought I couldn’t be creative but the love I have for my characters makes me more confident in myself"
"2019/06/20 3:13:41 AM GMT+2","34","Mostly DM","Agree","Strongly agree","Agree","Agree","How to give voice to the various aspects of my personality, both in-game and in real life."
"2019/06/20 3:14:13 AM GMT+2","4","Mostly Player","Neutral","Agree","Agree","Agree",""
"2019/06/20 3:15:39 AM GMT+2","2","Mostly DM","Disagree","Agree","Neutral","Agree","Improvisation, mostly. How to think on my feet better."
"2019/06/20 3:17:38 AM GMT+2","1","Only DM","Agree","Neutral","Neutral","Agree","Learned alternative ways of writing and world building"
"2019/06/20 3:18:10 AM GMT+2","1.5","Player & DM","Neutral","Agree","Neutral","Agree","Organization, confidence"
"2019/06/20 3:18:58 AM GMT+2","1","Mostly Player","Disagree","Neutral","Agree","Disagree","Strategising, planning your course of actions, creative thinking and problem solving."
"2019/06/20 3:21:12 AM GMT+2","4","Only DM","Agree","Strongly agree","Disagree","Agree","Keep it simple stupid "
"2019/06/20 3:24:42 AM GMT+2","2","Player & DM","Neutral","Agree","Strongly agree","Agree","More confidence in public speaking "
"2019/06/20 3:28:55 AM GMT+2","3","Player & DM","Neutral","Agree","Agree","Agree","Theater of the Mind"
"2019/06/20 3:33:37 AM GMT+2","6","Player & DM","Agree","Agree","Disagree","Agree",""
"2019/06/20 3:38:19 AM GMT+2","4","Only Player","Strongly agree","Strongly agree","Strongly agree","Strongly agree","I've been able to channel the more assertive and charismatic characters to adopt those traits IRL "
"2019/06/20 3:39:16 AM GMT+2","16","Player & DM","Agree","Agree","Agree","Agree","How to set up realistic expectations and how to deal with toxic people
"
"2019/06/20 3:40:18 AM GMT+2","1","Only Player","Agree","Strongly agree","Agree","Agree","Sometimes it's okay to sit down and be someone else, but all in all, you need to be true to you."
"2019/06/20 3:42:24 AM GMT+2","24","Mostly DM","Strongly agree","Strongly agree","Strongly agree","Strongly agree","How to remember and analyze rule sets. "
"2019/06/20 3:43:12 AM GMT+2","5","Mostly DM","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Confidence in my decisions and not needing to be perfect. "
"2019/06/20 3:44:07 AM GMT+2","5","Player & DM","Agree","Agree","Agree","Neutral",""
"2019/06/20 3:45:23 AM GMT+2","9","Mostly DM","Strongly agree","Neutral","Neutral","Agree","A bookshelf and a firm grasp of probability math."
"2019/06/20 3:45:48 AM GMT+2","1","Player & DM","Disagree","Agree","Disagree","Disagree","How to play DND, a new Hobbie, a greater appreciation for the arts."
"2019/06/20 3:45:50 AM GMT+2","6","Player & DM","Agree","Strongly agree","Strongly agree","Strongly agree",""
"2019/06/20 3:46:36 AM GMT+2","2","Mostly Player","Strongly disagree","Agree","Agree","Neutral",""
"2019/06/20 3:47:05 AM GMT+2","1","Only DM","Neutral","Neutral","Neutral","Neutral","I've answered neutral to all of these questions because I'd say I've already been doing well in those regards, e.g social skills, emotional skills, etc. I know that probably won't help much with your data gathering, and I'm sorry. Hopefully this bit of a write in will make up for it: I've engrossed myself in the community of DnD, and I've seen and heard so many stories of DnD doing exactly this for other people, and have gotten feedback and seen first hand players coming out of their shells and becoming more talkative and excited and social. Dungeons and Dragons is a very powerful tool, and one I'm glad I get to share with other people. "
"2019/06/20 3:47:16 AM GMT+2","2","Mostly DM","Agree","Strongly agree","Agree","Agree","I learned how to tell stories more engagingly, learned how to be more comedic and well versed, and mostly how to bring out the best in others."
"2019/06/20 3:49:20 AM GMT+2","6","Mostly Player","Neutral","Agree","Strongly agree","Neutral","How to let go and stop worrying out how other people perceive me. "
"2019/06/20 3:49:55 AM GMT+2","23","Mostly DM","Neutral","Agree","Neutral","Agree","Creativity, writing skills, math (specifically probability), and presentation skills."
"2019/06/20 3:52:23 AM GMT+2","14","Player & DM","Neutral","Strongly agree","Agree","Agree","Public speaking, story telling, on the fly creativity"
"2019/06/20 3:54:30 AM GMT+2","5","Mostly DM","Agree","Agree","Neutral","Agree",""
"2019/06/20 3:55:39 AM GMT+2","4","Player & DM","Agree","Agree","Neutral","Strongly agree","how to improv, and how to roll with the punches life(or the DM) throws at you"
"2019/06/20 3:57:26 AM GMT+2","1","Only Player","Neutral","Agree","Neutral","Neutral","Willingness to express different parts of myself. Being able to try different personality traits. Collaboration and making sacrifices."
"2019/06/20 3:59:35 AM GMT+2","18","Player & DM","Neutral","Strongly agree","Strongly agree","Strongly agree",""
"2019/06/20 4:01:27 AM GMT+2","3","Mostly Player","Agree","Disagree","Disagree","Agree","How to deal with failure"
"2019/06/20 4:03:42 AM GMT+2","3","Player & DM","Agree","Strongly agree","Strongly agree","Strongly agree","i learned how to push peoples buttons safely, i have also learned that people love secrets to a DETRIMENTAL DEGREE"
"2019/06/20 4:04:58 AM GMT+2","35","Mostly DM","Agree","Strongly agree","Strongly agree","Strongly agree","Role playing have have taught me there is a way to communicate with everyone. They also show that you can play make believe and still be a mature adult. "
"2019/06/20 4:06:54 AM GMT+2","7","Mostly Player","Agree","Agree","Strongly agree","Strongly agree","Friends"
"2019/06/20 4:08:29 AM GMT+2","2","Mostly DM","Agree","Agree","Agree","Agree","Self control"
"2019/06/20 4:11:08 AM GMT+2","1","Only DM","Strongly agree","Strongly agree","Strongly agree","Agree","Socializing and being comfortable with other people. Stretching my imagination, and creative thinking. Improv skills, as well as the power of preparation in how well improv can be executed."
"2019/06/20 4:11:29 AM GMT+2","1","Mostly Player","Neutral","Agree","Agree","Neutral",""
"2019/06/20 4:13:52 AM GMT+2","3","Player & DM","Disagree","Neutral","Neutral","Agree",""
"2019/06/20 4:14:14 AM GMT+2","2","Only Player","Neutral","Agree","Agree","Agree","The benefits of social interaction to mental health "
"2019/06/20 4:14:26 AM GMT+2","20","Mostly DM","Disagree","Neutral","Disagree","Neutral","It's a great outlet for creativity. Feels much better than video games. "
"2019/06/20 4:15:04 AM GMT+2","1","Only DM","Agree","Agree","Neutral","Strongly agree","How to be creative and confident in improv"
"2019/06/20 4:16:12 AM GMT+2","20","Mostly DM","Agree","Agree","Agree","Agree","My capacity for empathy has greatly increased, by playing multiple characters with varied life experiences."
"2019/06/20 4:17:36 AM GMT+2","12","Player & DM","Neutral","Disagree","Disagree","Agree","Entertainment.    It's a game my dudes,  not a therapist. "
"2019/06/20 4:20:43 AM GMT+2","7","Only DM","Agree","Strongly agree","Agree","Agree",""
"2019/06/20 4:22:16 AM GMT+2","2","Mostly DM","Strongly agree","Strongly agree","Agree","Strongly agree","I’ve learned that writing isn’t all that hard, and that changed my career path drastically"
"2019/06/20 4:22:50 AM GMT+2","28","Mostly DM","Strongly disagree","Neutral","Disagree","Agree",""
"2019/06/20 4:24:50 AM GMT+2","4","Player & DM","Agree","Agree","Neutral","Strongly agree",""
"2019/06/20 4:30:08 AM GMT+2","1","Player & DM","Agree","Agree","Agree","Agree","Critical Thinking, Team Building, Art"
"2019/06/20 4:30:41 AM GMT+2","3","Only DM","Agree","Agree","Agree","Strongly agree",""
"2019/06/20 4:31:26 AM GMT+2","1","Only Player","Neutral","Neutral","Neutral","Agree",""
"2019/06/20 4:31:36 AM GMT+2","5","Player & DM","Neutral","Agree","Agree","Neutral",""
"2019/06/20 4:40:07 AM GMT+2","5","Player & DM","Agree","Strongly agree","Neutral","Agree","more confidence in who I am and what I am able to do"
"2019/06/20 4:42:30 AM GMT+2","35","Mostly DM","Strongly agree","Strongly agree","Strongly agree","Strongly agree",""
"2019/06/20 4:45:07 AM GMT+2","4","Player & DM","Neutral","Agree","Disagree","Neutral",""
"2019/06/20 4:46:22 AM GMT+2","2","Only Player","Agree","Strongly agree","Strongly agree","Strongly agree","I learned to come out of my shell. I'll elaborate.  That mask people wear around others is eased off slowly as you open up and feel free to express yourself through your creation (character). I've learned a lot about myself and my friend through being someone other than myself."
"2019/06/20 4:46:24 AM GMT+2","5 ","Mostly DM","Agree","Disagree","Agree","Disagree","Mostly conflict resolution "
"2019/06/20 4:46:27 AM GMT+2","9","Player & DM","Neutral","Agree","Neutral","Neutral",""
"2019/06/20 4:48:44 AM GMT+2","2","Mostly Player","Agree","Agree","Agree","Strongly agree","Regularity with a social group"
"2019/06/20 4:49:44 AM GMT+2","7","Mostly DM","Agree","Strongly agree","Strongly agree","Strongly agree",""
"2019/06/20 4:52:14 AM GMT+2","3","Only Player","Disagree","Agree","Disagree","Agree","Being creative"
"2019/06/20 4:52:32 AM GMT+2","1","Player & DM","Neutral","Neutral","Neutral","Neutral","The rules of the game and it's lore :/"
"2019/06/20 4:54:10 AM GMT+2","1 ","Mostly Player","Neutral","Agree","Agree","Agree",""
"2019/06/20 4:55:41 AM GMT+2","1","Mostly DM","Disagree","Strongly agree","Strongly agree","Agree",""
"2019/06/20 4:58:40 AM GMT+2","4","Mostly DM","Agree","Agree","Neutral","Agree","Leadership, Sociability, Conflict Resolution"
"2019/06/20 5:00:14 AM GMT+2","1","Player & DM","Agree","Agree","Neutral","Strongly agree",""
"2019/06/20 5:01:31 AM GMT+2","8","Mostly DM","Strongly disagree","Neutral","Neutral","Disagree",""
"2019/06/20 5:04:38 AM GMT+2","20","Mostly Player","Neutral","Agree","Agree","Agree","I've learned to be more quick wired. And how to better explain myself."
"2019/06/20 5:04:49 AM GMT+2","1","Player & DM","Neutral","Agree","Agree","Agree","Understanding on how to have fun doing anything"
"2019/06/20 5:04:55 AM GMT+2","2","Only Player","Disagree","Disagree","Disagree","Neutral",""
"2019/06/20 5:05:17 AM GMT+2","2","Player & DM","Agree","Agree","Neutral","Agree","How to be more outgoing, realizing that not everything is in my control, and communication skills."
"2019/06/20 5:05:42 AM GMT+2","16","Mostly DM","Neutral","Agree","Neutral","Strongly agree","Confidence."
"2019/06/20 5:07:07 AM GMT+2","40","Player & DM","Agree","Agree","Neutral","Agree","Expanded my vocabulary and math skills when I was a pre-teen and teenager. "
"2019/06/20 5:09:14 AM GMT+2","5","Only Player","Agree","Agree","Strongly agree","Strongly agree","There are kindred spirits out there, and we have a ton of fun. Helps combat my depression."
"2019/06/20 5:10:33 AM GMT+2","1","Only DM","Agree","Strongly agree","Neutral","Agree","A chance to connect with friends more often and improved public speaking confidence"
"2019/06/20 5:15:18 AM GMT+2","5","Mostly Player","Strongly agree","Strongly agree","Strongly agree","Strongly agree","That imagination isn't necessarily bounded by computer programs or limited AI"
"2019/06/20 5:17:08 AM GMT+2","3","Mostly DM","Agree","Strongly agree","Neutral","Agree","Creativity boost and social skills"
"2019/06/20 5:18:04 AM GMT+2","6","Mostly DM","Neutral","Agree","Disagree","Agree",""
"2019/06/20 5:18:04 AM GMT+2","10","Mostly Player","Agree","Strongly agree","Strongly agree","Agree","How to work better on a team in group projects. I used to be a lone wolf but now I can accept help from my peers."
"2019/06/20 5:18:52 AM GMT+2","3","Mostly Player","Neutral","Neutral","Neutral","Neutral","Statistics skills"
"2019/06/20 5:19:38 AM GMT+2","1","Only Player","Disagree","Neutral","Neutral","Neutral",""
"2019/06/20 5:20:57 AM GMT+2","4","Player & DM","Disagree","Disagree","Disagree","Agree",""
"2019/06/20 5:22:19 AM GMT+2","7","Player & DM","Neutral","Agree","Agree","Neutral",""
"2019/06/20 5:24:01 AM GMT+2","5","Mostly DM","Disagree","Agree","Agree","Neutral","Ability to think on my feet with regards to storytelling, and has vastly improved my ability to improvise character and plot."
"2019/06/20 5:24:01 AM GMT+2","7","Mostly Player","Neutral","Disagree","Neutral","Agree",""
"2019/06/20 5:24:34 AM GMT+2","2","Mostly Player","Agree","Strongly agree","Agree","Strongly agree",""
"2019/06/20 5:24:45 AM GMT+2","5","Player & DM","Disagree","Strongly agree","Agree","Agree","Thinking on my feet and resource management"
"2019/06/20 5:24:57 AM GMT+2","10","Mostly DM","Neutral","Agree","Neutral","Agree",""
"2019/06/20 5:25:06 AM GMT+2","27","Mostly Player","Neutral","Neutral","Neutral","Strongly agree","A way to deal with real life issues by using a fantasy world to cope with...life."
